id,name,type,modern_location,summary,related_topics,related_people,related_episodes
place_africa,África,region,África,Continente clave para el origen y expansión inicial del género Homo y de Homo sapiens.,topic_evolucion_humana; topic_salida_africa; topic_homo_sapiens,person_homo_sapiens; person_homo_erectus,ep_historia_en_podcast_64_paleolitico
place_africa_oriental,África oriental,region,"Etiopía, Kenia, Tanzania y áreas próximas",Región fundamental para el estudio de los primeros homininos y del género Homo.,topic_australopithecus; topic_homo_habilis; topic_homo_erectus,person_lucy; person_homo_habilis; person_homo_erectus,
place_hadar,Hadar,site,Etiopía,Yacimiento asociado al hallazgo de Lucy y al estudio de Australopithecus afarensis.,topic_australopithecus; topic_bipedismo,person_lucy; person_australopithecus_afarensis,
place_laetoli,Laetoli,site,Tanzania,Yacimiento célebre por huellas fósiles que evidencian bipedismo temprano.,topic_bipedismo; topic_australopithecus,person_australopithecus_afarensis,
place_olduvai,Garganta de Olduvai,site,Tanzania,Uno de los yacimientos más importantes para estudiar herramientas tempranas y primeros Homo.,topic_homo_habilis; topic_industria_litica,person_homo_habilis,
place_lago_turkana,Lago Turkana,site,Kenia,Región clave para el estudio de Homo erectus/ergaster y fósiles como el Niño de Turkana.,topic_homo_erectus; topic_evolucion_humana,person_nino_turkana,
place_dmanisi,Dmanisi,site,Georgia,Yacimiento clave para comprender las primeras salidas de homininos fuera de África.,topic_salida_africa; topic_homo_erectus,person_homo_erectus,
place_europa,Europa,region,Europa,"Región fundamental para el Paleolítico europeo, los neandertales, el arte rupestre y la expansión de Homo sapiens.",topic_neandertales; topic_paleolitico_superior; topic_arte_rupestre,person_homo_neanderthalensis; person_cromagnon,ep_planeta_muy_neandertales; ep_khulmani_paleolitico_superior
place_atapuerca,Atapuerca,site,"Burgos, España",Conjunto de yacimientos clave para el estudio de la evolución humana en Europa.,topic_atapuerca; topic_evolucion_humana; topic_homo_antecessor,person_homo_antecessor; person_eudald_carbonell; person_juan_luis_arsuaga; person_jose_bermudez_castro,ep_atapuerca_1_zarpazo; ep_atapuerca_2_craneos; ep_atapuerca_4_piezas_puzle; ep_lhe_prehistoria_peninsula
place_altamira,Altamira,cave,"Cantabria, España",Cueva paleolítica célebre por su arte rupestre y sus representaciones de bisontes.,topic_arte_rupestre; topic_paleolitico_superior,person_homo_sapiens,ep_lhe_prehistoria_peninsula; ep_otro_podcast_arte_paleolitico
place_lascaux,Lascaux,cave,"Dordoña, Francia",Cueva francesa con uno de los conjuntos de arte rupestre más célebres del Paleolítico Superior.,topic_arte_rupestre; topic_paleolitico_superior,person_homo_sapiens,ep_otro_podcast_arte_paleolitico
place_chauvet,Chauvet,cave,"Ardèche, Francia",Cueva con algunas de las pinturas rupestres más antiguas y complejas conocidas en Europa.,topic_arte_rupestre; topic_paleolitico_superior,person_homo_sapiens,ep_otro_podcast_arte_paleolitico
place_el_sidron,El Sidrón,cave,"Asturias, España",Yacimiento neandertal importante para el estudio genético y biológico de Homo neanderthalensis.,topic_neandertales; topic_adn_antiguo,person_homo_neanderthalensis,ep_planeta_muy_neandertales
place_dolni_vestonice,Dolní Věstonice,site,República Checa,"Yacimiento del Paleolítico Superior asociado a arte mueble, figurillas y sociedades gravetienses.",topic_paleolitico_superior; topic_gravetiense; topic_arte_mueble,person_homo_sapiens,ep_khulmani_paleolitico_superior
place_cueva_denisova,Cueva de Denisova,cave,"Siberia, Rusia",Cueva que da nombre a los denisovanos y que es clave para el estudio de ADN antiguo.,topic_denisovanos; topic_adn_antiguo,person_denisovanos,
place_peninsula_iberica,Península ibérica,region,"España, Portugal y Andorra","Marco regional fundamental para estudiar Atapuerca, Altamira, Los Millares, El Argar y la evolución de la Prehistoria peninsular.",topic_prehistoria_peninsula_iberica; topic_atapuerca; topic_arte_rupestre,,ep_lhe_prehistoria_peninsula; ep_zh_neolitico_gaditano
place_bahia_cadiz,Bahía de Cádiz,region,"Cádiz, España",Área relevante para el estudio del Neolítico gaditano y del yacimiento del Campo de Hockey.,topic_neolitico_gaditano; topic_neolitico,person_eduardo_vijande,ep_zh_neolitico_gaditano
place_campo_hockey,Campo de Hockey de San Fernando,site,"San Fernando, Cádiz, España",Yacimiento neolítico destacado por su información sobre prácticas funerarias y comunidades del suroeste peninsular.,topic_neolitico_gaditano; topic_arqueologia_funeraria,person_eduardo_vijande,ep_zh_neolitico_gaditano
place_lago_bracciano,Lago Bracciano / La Marmotta,site,Italia,Yacimiento neolítico lacustre relevante para comprender la expansión del Neolítico por el Mediterráneo europeo.,topic_neolitico; topic_neolitizacion; topic_agricultura,person_juan_gibaja,ep_khulmani_neolitico_europa
place_gobekli_tepe,Göbekli Tepe,site,Turquía,"Complejo monumental del inicio del Neolítico, clave para debatir religión, sedentarismo y comunidades preagrícolas.",topic_neolitico; topic_megalitismo; topic_revolucion_neolitica,,ep_historia_en_podcast_65_neolitico
place_jerico,Jericó,site,Cisjordania,"Uno de los asentamientos más antiguos y relevantes para entender aldeas, fortificaciones y sedentarismo neolítico.",topic_neolitico; topic_primeras_aldeas; topic_sedentarismo,,ep_historia_en_podcast_65_neolitico
place_catalhoyuk,Çatalhöyük,site,Turquía,"Gran asentamiento neolítico de Anatolia, clave para estudiar vida doméstica, simbolismo y organización social temprana.",topic_neolitico; topic_primeras_aldeas; topic_sedentarismo,,ep_historia_en_podcast_65_neolitico
place_stonehenge,Stonehenge,monument,"Inglaterra, Reino Unido",Monumento megalítico emblemático del Neolítico final y la Edad del Bronce en las Islas Británicas.,topic_megalitismo; topic_edad_bronce,,
place_carnac,Carnac,monument,"Bretaña, Francia",Conjunto de alineamientos megalíticos fundamentales para estudiar el megalitismo europeo.,topic_megalitismo; topic_neolitico,,
place_los_millares,Los Millares,site,"Almería, España","Yacimiento calcolítico clave para estudiar fortificaciones, metalurgia y complejidad social en la península ibérica.",topic_edad_cobre; topic_metalurgia; topic_jerarquias_sociales,,ep_lhe_prehistoria_peninsula
place_el_argar,El Argar,site_culture,Sureste de la península ibérica,"Cultura de la Edad del Bronce peninsular caracterizada por jerarquización, metalurgia y asentamientos complejos.",topic_edad_bronce; topic_metalurgia; topic_jerarquias_sociales,,ep_lhe_prehistoria_peninsula
place_dolmen_menga,Dolmen de Menga,monument,"Antequera, Málaga, España","Monumento megalítico excepcional de la Prehistoria peninsular, clave para entender arquitectura funeraria y monumentalidad.",topic_megalitismo; topic_arqueologia_funeraria,,
place_alpes_otztal,Alpes de Ötztal,region,Frontera Austria-Italia,"Región asociada al hallazgo de Ötzi, la momia del hielo.",topic_edad_cobre; topic_movilidad_prehistorica,person_otzi,
place_australia,Australia,region,Australia,Continente clave para comprender la expansión global de Homo sapiens y la historia profunda de los pueblos aborígenes.,topic_aborigenes_australianos; topic_migraciones_humanas,person_homo_sapiens,ep_khulmani_aborigenes_australianos
